Started in hybrid online/batch training mode.
Sequences will be shuffled within and across mini-batches during training.
The trained network will be written to 'savedNetwork.jsn'.
WARNING: The output file 'savedNetwork.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Test error will be calculated every 10 epochs.
Training will be stopped after 200 epochs or if there is no new lowest validation error within 20 epochs.
Autosave on BEST VALIDATION ERROR enabled.
WARNING: CUDA option not set. Computations will be performed on the CPU!
Uniform distribution with range [-0.1, 0.1]. Random seed: 3864690467

Reading network from 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\network.jsn'... done.

Loading training set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\trainingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\6fee-5c59-3572-5e43
... done.
Loaded fraction:  100%
Sequences:        3566
Sequence lengths: 2..551
Total timesteps:  231600

Loading validation set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\validationNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b9b8-1d2b-33b1-2653
... done.
Loaded fraction:  100%
Sequences:        1024
Sequence lengths: 2..294
Total timesteps:  49630

Loading test set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\testingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b884-4131-ea6d-803f
... done.
Loaded fraction:  100%
Sequences:        1646
Sequence lengths: 5..329
Total timesteps:  49479

Creating the neural network... done.
Layers:
(0) input [size: 36]
(1) blstm [size: 450, bias: 1.0, weights: 472950]
(2) softmax [size: 14, bias: 1.0, weights: 6314]
(3) multiclass_classification [size: 14]
Total weights: 479264


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       200
Max epochs until new best: 20
Validation error every:    1
Test error every:          10
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best
    98 |    498.3 | 15.86%    30.748 | 17.35%    25.006 |                  |  no
    99 |    491.7 | 15.74%    30.567 | 17.22%    24.754 |                  |  no
   100 |    521.1 | 15.70%    30.423 | 17.74%    25.267 | 21.46%    19.048 |  no
   101 |    490.0 | 15.60%    30.243 | 16.91%    24.539 |                  |  yes
   102 |    495.9 | 15.52%    30.089 | 16.53%    24.212 |                  |  yes
   103 |    498.7 | 15.40%    29.902 | 16.44%    23.980 |                  |  yes
   104 |    499.9 | 15.28%    29.684 | 16.58%    24.142 |                  |  no
   105 |    498.6 | 15.23%    29.562 | 16.53%    23.967 |                  |  yes
   106 |    497.7 | 15.11%    29.368 | 16.60%    24.122 |                  |  no
   107 |    495.9 | 14.97%    29.183 | 16.88%    24.353 |                  |  no
   108 |    495.9 | 14.96%    29.083 | 16.14%    23.606 |                  |  yes
   109 |    498.1 | 14.78%    28.868 | 16.56%    23.981 |                  |  no
   110 |    527.9 | 14.74%    28.726 | 16.25%    23.772 | 20.36%    18.236 |  no
   111 |    495.6 | 14.64%    28.571 | 16.56%    23.953 |                  |  no
   112 |    491.0 | 14.59%    28.427 | 16.09%    23.422 |                  |  yes
   113 |    497.6 | 14.49%    28.271 | 16.00%    23.568 |                  |  no
   114 |    489.3 | 14.42%    28.125 | 15.99%    23.432 |                  |  no
   115 |    488.6 | 14.32%    27.931 | 15.88%    23.233 |                  |  yes
   116 |    492.3 | 14.26%    27.805 | 16.11%    23.502 |                  |  no
   117 |    492.1 | 14.15%    27.652 | 16.20%    23.429 |                  |  no
   118 |    490.9 | 14.01%    27.494 | 16.04%    23.342 |                  |  no
   119 |    489.8 | 13.99%    27.368 | 16.08%    23.217 |                  |  yes
   120 |    522.2 | 13.89%    27.187 | 16.20%    23.351 | 20.12%    17.896 |  no
   121 |    489.3 | 13.85%    27.060 | 15.42%    22.630 |                  |  yes
   122 |    492.7 | 13.69%    26.888 | 15.55%    22.785 |                  |  no
